id,name,type,inc_crc,fmel_upd_d,longitude,latitude,altitude
kml_1,CENTRAL EXPRESSWAY,Expressway_Sliproad,0C08DFFA475DDCCD,2.02E+13,103.8583339,1.355953332,0
kml_2,CENTRAL EXPRESSWAY,Expressway_Sliproad,48A90A617CC124B8,2.02E+13,103.8575861,1.356109791,0
kml_3,CENTRAL EXPRESSWAY,Expressway_Sliproad,051AA478B6209021,2.02E+13,103.8604244,1.368165487,0
kml_4,CENTRAL EXPRESSWAY,Expressway_Sliproad,1C51FD53E1662A6B,2.02E+13,103.8597803,1.372283896,0
kml_5,CENTRAL EXPRESSWAY,Expressway_Sliproad,44D0FFDF1EF47027,2.02E+13,103.8593692,1.369134523,0
kml_6,CENTRAL EXPRESSWAY,Expressway_Sliproad,FB1312F3B35BE59C,2.02E+13,103.8604516,1.369317589,0
kml_7,CENTRAL EXPRESSWAY,Expressway_Sliproad,FC79D834475C81E6,2.02E+13,103.8589374,1.376663998,0
kml_8,CENTRAL EXPRESSWAY,Expressway_Sliproad,124BF3A9A7B00559,2.02E+13,103.8597373,1.376899129,0
kml_9,CENTRAL EXPRESSWAY,Expressway_Sliproad,4D32A9DCA4D3A3FD,2.02E+13,103.8587013,1.37762417,0
kml_10,CENTRAL EXPRESSWAY,Expressway_Sliproad,17AFD7EBA474B2CE,2.02E+13,103.8578279,1.389986025,0
kml_11,CENTRAL EXPRESSWAY,Expressway_Sliproad,873E996F99D802BB,2.02E+13,103.8578972,1.39071095,0
kml_12,CENTRAL EXPRESSWAY,Expressway_Sliproad,F3B63389A7968256,2.02E+13,103.8578972,1.39071095,0
kml_13,CENTRAL EXPRESSWAY,Expressway_Sliproad,49419B0F4E0F64F9,2.02E+13,103.8566716,1.391416784,0
kml_14,CENTRAL EXPRESSWAY,Expressway_Sliproad,6A61803C91DD5528,2.02E+13,103.8581117,1.391133288,0
kml_15,CENTRAL EXPRESSWAY,Expressway_Sliproad,E13E1A7429B2DFBE,2.02E+13,103.8551599,1.401736597,0
kml_16,CHANGI COAST ROAD,Expressway_Sliproad,9DDDC371BDB6B9E7,2.02E+13,103.9714899,1.323690265,0
kml_17,CHANGI NORTH CRESCENT,Expressway_Sliproad,B04B537E719CB0F0,2.02E+13,103.9689194,1.344108529,0
